
Country Name, Tons Exported, End in the Ocean, End in the beach, 
,,,,Tons to Russia, 0.0,From Guatemala, 4.0,
,,,,Tons to Turks and Caicos Islands, 0.0,From Mexico, 3.0,
,,,,,,From Germany, 2.0,
,,,,,,From Trinidad and Tobago, 2.0,
,,,,,,From Morocco, 2.0,
,,,,,,From Papua New Guinea, 1.0,
,,,,,,From Norway, 1.0,
,,,,,,From Dominican Republic, 1.0,
,,,,,,From Sweden, 1.0,
,,,,,,From El Salvador, 0.0,
,,,,,,From Iceland, 0.0,
,,,,,,From Samoa, 0.0,
,,,,,,From Spain, 0.0,
,,,,,,From Belgium, 0.0,
,,,,,,From Denmark, 0.0,
,,,,,,From France, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
central african republic,,,,,,From Cameroon, 0.0,

